Country,Code,Voice and Accountability,Political Stability and Absence of Violence/Terrorism,Government Effectiveness,Regulatory Quality,Rule of Law,Control of Corruption
Pakistan,PAK,-0.8433507680892944,-2.246335744857788,-0.6770046949386597,-0.6444789171218872,-0.6675786972045898,-0.8467406630516052
Panama,PAN,0.6217132806777954,0.30680492520332336,0.06554018706083298,0.36189696192741394,-0.11903498321771622,-0.5799239873886108
Palau,PLW,1.0942646265029907,0.8625854253768921,-0.04542214423418045,-0.007540999446064234,0.31445762515068054,-0.44930270314216614
Peru,PER,0.28628385066986084,-0.1417345404624939,-0.06754565984010696,0.5639061331748962,-0.48720264434814453,-0.44769078493118286
Philippines,PHL,0.030184244737029076,-0.884965717792511,0.05296817049384117,0.009308159351348877,-0.4773007035255432,-0.5733455419540405
Papua New Guinea,PNG,0.07404211163520813,-0.8261072039604187,-0.8086790442466736,-0.5425463914871216,-0.8009730577468872,-0.99163818359375
Poland,POL,0.6982618570327759,0.521514892578125,0.6016291975975037,1.0141236782073975,0.4520929753780365,0.602715015411377
Puerto Rico,PRI,0.4956725835800171,0.12338312715291977,-0.16427363455295563,0.7319591045379639,0.5873398184776306,0.013092992827296257
"Korea, Dem. Rep.",PRK,-2.194688320159912,-0.3049033582210541,-1.396788239479065,-2.3967936038970947,-1.6514610052108765,-1.5893584489822388
Portugal,PRT,1.2387827634811401,1.1282484531402588,1.1540054082870483,0.969747006893158,1.1356768608093262,0.763995349407196
Paraguay,PRY,0.08214247971773148,-0.001913156476803124,-0.533756673336029,-0.2034580111503601,-0.556403398513794,-0.8293102383613586
Qatar,QAT,-1.2906183004379272,0.7046954035758972,0.7052067518234253,0.6793299317359924,0.7343184351921082,0.8489959239959717
Réunion,REU,NA,0.2504129707813263,1.0890549421310425,1.228176474571228,0.8454175591468811,0.6249011754989624
Romania,ROM,0.48513972759246826,0.5255054235458374,-0.28124380111694336,0.4620535969734192,0.36400461196899414,-0.1282404661178589
Russian Federation,RUS,-1.1000820398330688,-0.5423039793968201,0.15036487579345703,-0.4316224455833435,-0.723688542842865,-0.8318731784820557
Rwanda,RWA,-1.079367995262146,0.11567217856645584,0.18502268195152283,0.07738430052995682,0.07618818432092667,0.5643460154533386
Samoa,WSM,0.7477008700370789,1.1205109357833862,0.4364130198955536,-0.22384203970432281,1.0770641565322876,0.6406355500221252
Saudi Arabia,SAU,-1.6169171333312988,-0.4279959797859192,0.3064448833465576,-0.06819485127925873,0.16855593025684357,0.2746393382549286
Sudan,SDN,-1.6359678506851196,-1.6736141443252563,-1.621904730796814,-1.6738343238830566,-1.140473484992981,-1.3669849634170532
Senegal,SEN,0.2603853940963745,0.05736391618847847,-0.05736938491463661,-0.1122397631406784,-0.1907603144645691,0.0484844334423542
Singapore,SGP,-0.18336543440818787,1.5316022634506226,2.221086025238037,2.161376714706421,1.878558874130249,2.1594765186309814
Solomon Islands,SLB,0.5980532765388489,0.5017839670181274,-0.9972015619277954,-0.8322485685348511,-0.13986755907535553,-0.00740398932248354
Sierra Leone,SLE,-0.09636695683002472,-0.098183274269104,-1.126595139503479,-0.8819936513900757,-0.7663630843162537,-0.41136106848716736
El Salvador,SLV,0.13837362825870514,-0.12745198607444763,-0.4654403030872345,0.02163848653435707,-0.7624596357345581,-0.5525648593902588
San Marino,SMR,1.19308340549469,0.899695873260498,NA,NA,NA,NA
Somalia,SOM,-1.8352736234664917,-2.3832266330718994,-2.2371490001678467,-2.203132152557373,-2.350358247756958,-1.7099632024765015
São Tomé and Principe,STP,0.3727668821811676,0.5156372785568237,-0.6269139647483826,-0.9070695042610168,-0.6797023415565491,0.22584551572799683
Suriname,SUR,0.38978254795074463,0.1134033054113388,-0.590061366558075,-0.6795514225959778,-0.05965122580528259,-0.39323732256889343
Slovak Republic,SVK,0.9109987020492554,0.7827881574630737,0.6739016771316528,1.0067802667617798,0.5567356944084167,0.327202707529068
Slovenia,SVN,1.0074244737625122,0.8167541027069092,1.081404447555542,1.00883948802948,1.1184208393096924,0.9058986902236938
Sweden,SWE,1.5922601222991943,1.0517905950546265,1.8299006223678589,1.8016748428344727,1.90652596950531,2.1184780597686768
Swaziland,SWZ,-1.3212302923202515,-0.37859588861465454,-0.6783169507980347,-0.6122773885726929,-0.5018827319145203,-0.4876726269721985
Seychelles,SYC,0.33566996455192566,0.6894370317459106,0.5179413557052612,-0.1530526727437973,0.17143608629703522,0.9692126512527466
