genres,rated,title,countries,year,type,languages,imdb_rating,rt_rating,decade
Drama,NA,Earth,Soviet Union,1930,movie,Inconnu,7.5,3.7,1930
Comedy,NA,The Song of Night,Germany,1932,movie,German,7.4,4.1,1930
Comedy,APPROVED,Alice Adams,USA,1935,movie,English,7.1,3.5,1940
Comedy,PASSED,A Night at the Opera,USA,1935,movie,English,8.1,4.1,1940
Comedy,APPROVED,Roberta,USA,1935,movie,English,7.2,3.7,1940
Drama,NA,Wife! Be Like a Rose!,Japan,1935,movie,Japanese,7.7,3.5,1940
Crime,APPROVED,Black Legion,USA,1937,movie,English,7,3.4,1940
Adventure,APPROVED,The Garden of Allah,USA,1936,movie,English,6,3.3,1940
Animation,APPROVED,Popeye the Sailor Meets Sindbad the Sailor,USA,1936,movie,English,7.5,3.7,1940
Comedy,NOT RATED,Swing Time,USA,1936,movie,English,7.7,4,1940
Drama,NA,Harvest,France,1937,movie,French,7.5,4.1,1940
Drama,UNRATED,Algiers,USA,1938,movie,English,6.9,3.3,1940
Comedy,PASSED,The Cowboy and the Lady,USA,1938,movie,English,6.7,3.5,1940
Musical,PASSED,Sweethearts,USA,1938,movie,English,6.5,3.7,1940
Adventure,APPROVED,The Rains Came,USA,1939,movie,English,7,3.6,1940
Drama,NA,The White Ship,Italy,1941,movie,Italian,6,3.5,1940
Drama,NA,L'espoir,Spain,1945,movie,Spanish,6.7,3.4,1940
Drama,APPROVED,Leave Her to Heaven,USA,1945,movie,English,7.8,3.8,1940
Drama,APPROVED,The Last Chance,Switzerland,1945,movie,English,6.5,3.8,1940
Biography,NA,A Song to Remember,USA,1945,movie,English,6.9,3.6,1940
Animation,APPROVED,The Three Caballeros,USA,1944,movie,English,6.6,3.3,1940
Drama,NA,Bad Girl,USA,1931,movie,English,6.7,3.5,1930
Drama,PASSED,Cimarron,USA,1931,movie,English,6,2.8,1930
Comedy,NOT RATED,The 3 Penny Opera,Germany,1931,movie,German,7.4,4,1930
Horror,UNRATED,Frankenstein,USA,1931,movie,English,8,3.7,1930
Action,PASSED,Scarface,USA,1932,movie,English,7.8,3.9,1930
Drama,PASSED,Cavalcade,USA,1933,movie,English,6.1,2.9,1930
Biography,PASSED,The Barretts of Wimpole Street,USA,1934,movie,English,7.1,3.7,1930
Comedy,APPROVED,Dames,USA,1934,movie,English,7.2,3.6,1930
